Wavelength_nm,Lamp,Abs. Wavenumber_cm^-1
404.44,Ar(6030),24725.5
415.86,Ar(6030),24046.6
416.4,Ar(6030),24015.4
418.19,Ar(6030),23912.6
419.1,Ar(6030),23860.7
419.8,Ar(6030),23820.9
420.07,Ar(6030),23805.6
425.12,Ar(6030),23522.8
425.94,Ar(6030),23477.5
426.63,Ar(6030),23439.5
427.22,Ar(6030),23407.1
427.4,Ar(6030),23397.3
428.3,Kr(6031),23348.1
430.01,Ar(6030),23255.3
431.96,Kr(6031),23150.3
432,Ar(6030),23148.1
433.36,Ar(6030),23075.5
434.52,Ar(6030),23013.9
435.14,Kr(6031),22981.1
436.26,Kr(6031),22922.1
437.61,Kr(6031),22851.4
440,Kr(6031),22727.3
442.52,Kr(6031),22597.8
445.39,Kr(6031),22452.2
446.37,Kr(6031),22402.9
450.1,Xe(6033),22217.3
450.24,Kr(6031),22210.4
452.47,Xe(6033),22100.9
458.28,Xe(6033),21820.7
462.43,Xe(6033),21624.9
467.12,Xe(6033),21407.8
469.7,Xe(6033),21290.2
470.44,Ne(6032),21256.7
473.42,Xe(6033),21122.9
480.7,Xe(6033),20803
482.97,Xe(6033),20705.2
484.33,Xe(6033),20647.1
491.65,Xe(6033),20339.7
492.32,Xe(6033),20312
502.83,Xe(6033),19887.4
503.78,Ne(6032),19849.9
508.04,Ne(6032),19683.5
511.65,Ne(6032),19544.6
514.5,Ne(6032),19436.3
520.39,Ne(6032),19216.4
533.08,Ne(6032),18758.9
534.11,Ne(6032),18722.7
534.33,Ne(6032),18715
540.06,Ne(6032),18516.5
549.09,Kr(6031),18212
550.07,Kr(6031),18179.5
556.22,Kr(6031),17978.5
557.03,Kr(6031),17952.4
558.04,Kr(6031),17919.9
564.96,Kr(6031),17700.4
565.67,Ne(6032),17678.2
567.25,Kr(6031),17628.9
574.83,Ne(6032),17396.4
576.44,Ne(6032),17347.9
580.45,Ne(6032),17228
582.02,Ne(6032),17181.5
583.29,Kr(6031),17144.1
585.25,Ne(6032),17086.7
587.09,Kr(6031),17033.2
587.99,Kr(6031),17007.1
588.19,Ne(6032),17001.3
590.25,Ne(6032),16942
594.48,Ne(6032),16821.4
597.55,Ne(6032),16735
598.79,Ne(6032),16700.3
599.39,Kr(6031),16683.6
601.22,Kr(6031),16632.8
603,Ne(6032),16583.7
605.61,Kr(6031),16512.3
607.43,Ne(6032),16462.8
609.62,Ne(6032),16403.7
612.85,Ne(6032),16317.2
614.31,Ne(6032),16278.4
616.36,Ne(6032),16224.3
618.22,Ne(6032),16175.5
618.24,Xe(6033),16174.9
621.73,Ne(6032),16084.2
626.65,Ne(6032),15957.9
630.48,Ne(6032),15860.9
631.81,Xe(6033),15827.5
633.44,Ne(6032),15786.8
638.3,Ne(6032),15666.6
640.23,Ne(6032),15619.4
641.63,Ar(6030),15585.3
642.1,Kr(6031),15573.9
645.63,Kr(6031),15488.7
646.97,Xe(6033),15456.7
650.65,Ne(6032),15369.2
653.29,Ne(6032),15307.1
659.9,Ne(6032),15153.8
665.21,Ne(6032),15032.8
666.89,Xe(6033),14995
667.73,Ar(6030),14976.1
667.83,Ne(6032),14973.9
669.92,Kr(6031),14927.2
671.7,Ne(6032),14887.6
672.8,Xe(6033),14863.3
675.28,Ar(6030),14808.7
681.31,Kr(6031),14677.6
682.73,Xe(6033),14647.1
687.13,Ar(6030),14553.3
688.22,Xe(6033),14530.2
690.47,Kr(6031),14482.9
692.95,Ne(6032),14431.1
693.77,Ar(6030),14414
696.54,Ar(6030),14356.7
702.41,Ne(6032),14236.7
703.03,Ar(6030),14224.1
703.24,Ne(6032),14219.9
705.3,Ne(6032),14178.4
705.91,Ne(6032),14166.1
706.72,Ar(6030),14149.9
711.96,Xe(6033),14045.7
714.7,Ar(6030),13991.9
717.39,Ne(6032),13939.4
722.41,Kr(6031),13842.6
724.52,Ne(6032),13802.2
727.29,Ar(6030),13749.7
728.53,Xe(6033),13726.3
728.98,Kr(6031),13717.8
737.21,Ar(6030),13564.7
738.4,Ar(6030),13542.8
742.55,Kr(6031),13467.1
743.89,Ne(6032),13442.8
747.24,Ne(6032),13382.6
748.61,Kr(6031),13358.1
748.89,Ne(6032),13353.1
750.39,Ar(6030),13326.4
751.46,Ar(6030),13307.4
753.58,Ne(6032),13270
754.41,Ne(6032),13255.4
758.47,Xe(6033),13184.4
758.74,Kr(6031),13179.7
760.15,Kr(6031),13155.3
763.51,Ar(6030),13097.4
764.2,Xe(6033),13085.6
768.52,Kr(6031),13012
769.45,Kr(6031),12996.3
772.38,Ar(6030),12947
774.68,Kr(6031),12908.6
785.48,Kr(6031),12731.1
791.34,Kr(6031),12636.8
794.32,Ne(6032),12589.4
794.82,Ar(6030),12581.5
800.62,Ar(6030),12490.3
801.48,Ar(6030),12476.9
805.95,Kr(6031),12407.7
808.25,Ne(6032),12372.4
810.37,Ar(6030),12340
810.44,Kr(6031),12339
811.29,Kr(6031),12326
811.53,Ar(6030),12322.4
813.64,Ne(6032),12290.4
819.01,Kr(6031),12209.9
823.16,Xe(6033),12148.3
826.32,Kr(6031),12101.8
826.45,Ar(6030),12099.9
828.01,Xe(6033),12077.1
828.11,Kr(6031),12075.7
829.81,Kr(6031),12051
830.03,Ne(6032),12047.8
834.68,Xe(6033),11980.6
837.76,Ne(6032),11936.6
840.82,Ar(6030),11893.2
840.92,Xe(6033),11891.7
841.84,Ne(6032),11878.7
842.46,Ar(6030),11870
849.54,Ne(6032),11771.1
850.89,Kr(6031),11752.4
877.67,Kr(6031),11393.8
892.87,Kr(6031),11199.8
